Coder,Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,XC1.8.3_Interaction(old),XC1.8.3_Task_desc (will remove),C1.8.3_Intearction_code,C1.8.4_DoF_of_task,(old)C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1 Coded,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.1_Actuation,C2.3.2_Haptic model?,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,(old)C2.5.2_DoF of haptic device (force feedback),C2.5.3_Physical_properties,XC2.5.4_Purpose,C2.5.4_Purpose,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,XC3.2_IVs description,XC3.1.2_IVs code(s),C3.2_IV,C3.2.1_Levels,"XC3.3.1_DVs: Performance, behavioral, and continuous measure",C3.3.1_DVs: Code Performance etc,XC3.3.2_DVs: self-reports,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,XC3.4.2_Are the hypotheses haptic-related?(repeated with 3.4.1),C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,XC3.6.2_Grouping method ,XC3.6.3_Users grouped together or with the experimenter,C4.1_Hypothesis supported,Concluding_statement,WJ_CS_code,J_CS_code,C4.2_Benefit_of_using_haptic_feedback_in_CVEs,XBenefit_code,C4.2_Benefit_code,C4.3_Limitation_of_using_haptic_feedback_in_CVEs,XLimitation_code,C4.3_Limitation_code,C4.4_Future_work,XFuture_work_code,C4.4_Future_work_code,XOthers
WJ,"Networked multiplayer cooperative interaction using decoupled motion control method in a shared virtual environment with haptic, visual and movement feedback",2012,"Liu, Guanyang and Lu, Keke",https://doi.org/10.1002/cav.1475,Synchronous,Remote: different rooms,2,Symmetric,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,"Steer a pointer through a track, during this process, collaborators can feel gravity (haptic) and force (movement)",Steering,2,2 (translational),Pointer,Hybrid ,Phantom desktop and Omega,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic ,3,3 (translational),Force,"guidance in a steering task,  feedback : gravity + contact forces, weight and contac",,Symmetric,Bilateral,"User, Virtual object",Can the motion of an avatar be decoupled with respect to a virtual environment coordinate system where one user independently controls one-dimensional movement of the avatar along one coordinate axis?,Evaluation: interaction technique,"Modality :
- V means visual feedback only and users cannot feel haptic feedback.
- V+H means visual-haptic feedback, and the pipe, users can feel the collision force through haptic devices. users can feel gravity of the virtual object. When the avatar is moved to collide with the pipe, users can feel the collision force through haptic devices.
- V+H+M means visual-haptic-movement feedback. A user can feel the motion of the avatar in the direction controlled by his or her partner together with visual-haptic feedback.","V, V+H, V+H+M",Feedback,"- Haptic, no haptic
- Haptic collision, haptic movement",- scoring method combining time and collisions,"Performance: Time, Score, Errors","co-presence with 8 questions, no reference",Social presence,IV,N/A,N/A,N/A,,5,10 participants paired together,Paired,With participants,N/A,"Experimental results validate that movement (force) feedback is critical for users to successfully complete the task, without which it is nearly impossible for them to have good performances",,"Force feedback, Performance",V+H+M is better than other conditions in terms of performance and overall for co-presence,Haptic feedback improves collaborative performance and experiences,Improve performance and experience,"Delay, requires compenstation methods",Delay,Latency,Extending to more complex 3D tasks.,Explore more complex tasks,More complex task,
J,Separate DOF control and mutual guidance in networked haptic collaboration maze game: Design and evaluation,2011,"Liu, Lingzhi and Liu, Guanyang and Zhang, Yuru and Guo, Weidong and Lu, Keke and Zhou, Moyuan",https://doi.org/10.1109/ICRA.2011.5979832,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,Screen (2DVE),Performance,Optimizing,Object manipulation,"(but literally symmetrical roles: one controls right, one controls left)",Manipulating object,2,2,No visual representation,Hybrid ,Omega + Phantom devices,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (constraint to 2),Force,Manipulation,,Asymmetry? (same FB but different devices),Bilateral,"User, UI","The presented results motivated a new haptic collaboration mode (separate DOF control, SDC) in the fields of game design, education and cooperative assembly.",Evaluation: interaction technique,V/V+H/V+H+G(mutual motion guide),"- Feedback
- Guidance","Feedback, Guidance","Visual, visual+haptic, visual+haptic+guidance","- Performance
   - TCT
   - Collisions (errors)","Performance: Time, Errors","- Co-presence
- Perceived performance","Social presence, Performance",IV,"H1. Performance increases with the haptic feedback because it makes the CVE more real compared to the visual feedback only.
H2. Co-presence is intense with the mutual guidance for the feeling of being guided intelligently.
H3. Attraction of the maze game increases for players because the new method which hasn’t experienced before.",Haptic improves performance and experience,Yes,within,12,12 participants paired together,Paired,Together,Yes,[Haptic mutual guidance] is an effective collaborative method and its tentative application in the internet game is attractive.,,"Performance, Social presence",Improves co-presence and performance,Haptic feedback improves collaborative performance and experiences,Improve performance and experience,N/A,N/A,N/A,"applying the collaboration to the
wide area network",Test the system in more ecological setup,More ecological setup,
J,Proxy Importance Based Haptic Retargeting With Multiple Props in VR,2025,"Liu, Ziming and Wu, Jian and Wang, Lili and Li, Xiangyu and Im, Sio‐Kei",https://doi.org/10.1109/TVCG.2024.3392743,Synchronous,Co-located,2,Symmetric,Object,Shared experience,VR,Decision-making,Optimizing,Object manipulation,"This task involves two participants taking turns interacting with the virtual scene by moving cubes, like playing chess.",Manipulating object,N/A (touch),N/A (touch),Avatar,Passive,Passive prop(s),Customized,Passive,,Prop,Hand,Passive,0,0,Shape,Manipulation,,Symmetric,No communication,Prop,Haptic retargeting technique is proposed to establish the virtual-real correspondence by introducing an offset between the virtual hand and the real hand.,Evaluation: interaction technique,"Haptic retargeting strategy (Basic, Ownership, Weighted)",- Haptic retargeting method,Interaction technique (Ownership),"Basic, Ownership, Weighted","- Behavior
   - Reset rate
   - Hand movements
- Performance (TCT)","Performance: Time, Precision
Behavior: Movements",N/A,N/A,Constant,N/A,N/A,N/A,Within,12,12 participants paired together,Paired,Together,N/A,"In multi-user tasks, the use of the weighted proxy importance strategy proposed specifically for multi-user tasks significantly reduces the number of resets, the average hand movement distance, and the task completion time, compared to the direct use of the single-user method described earlier.",,"Performance, Social presence",haptic feedback is crucial for enhancing user immersion as it complements the visual information received.,Haptic feedback improves collaborative experience,Improve performance and experience,"the virtual world is dynamic and complex, and it is often challenging to replicate the same number and distribution of physical objects in the real world.",Haptic props are not suitable for dynamice environment.,Insufficient haptic resolution,"In the future, we will consider adding predictions for user interaction sequences, for example, using models of the user’s gaze point and attention to estimate interaction sequences, which helps us to choose better props and placements.",predict user's interaction,Predicting users,
WJ,A study on haptic collaborative game in shared virtual environment,2013,"Lu, Keke and Liu, Guanyang and L, Liu",https://doi.org/10.1117/12.2021258,Synchronous,Remote: different rooms,2,Symmetric ,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,"Steering a ball along a track, (The virtual object has two directions movements (direction x and direction y). Each direction is controlled by one user.)",Steering,2,2 (translational),Pointer,Hybrid ,omega/phantom,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Notify collisions of the pointer to the track,,Symmetric,Bilateral,User,The goal of the experiment is to assess the impact of force feedback on collaborative task performance.,Study: communication modalities,Visual vs Haptic + visual,,Feedback,"Haptic, no haptic",Task score based on time and precision (the subjects should move the sphere quickly and avoid contacting the pipe),"Performance: Time, Score, Precision",NA,N/A,IV,N/A,N/A,N/A,,5,10 participants paired together,Paired,With participants,N/A,The results suggest that haptic feedback is beneficial for increasing the accurate rate and enhancing speed of collaborative task.,,Performance,Shows benefits of haptic feedback for remote joint object manipulation.,Haptic feedback improves collaborative performance,Improve performance,No statistical analysis in the paper.,N/A,N/A,Future research direction is to address network delay and experiences in CVEs.,reduce delay,Overcome latency,Local network ~0
WJ,The Effect of Haptic Delay on Robot-Mediated Dyadic Cooperation,2024,M. Du and S. Kager and B. Noronha and D. Campolo,https://doi.org/10.1109/BioRob60516.2024.10719746,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (2DVE),Performance,Optimizing,Object manipulation: steering,Participants were instructed to manipulate their robots to track target point(s),Pointing,1,1 (rotational),Pointer,Custom,1-DOF robots (HEBITM X5-6 Actuators),Customized,Motor,,Grounded,Hand,Kinesthetic ,1,1 (rotational),Force,guidance,,Symmetric,Bilateral,User,Study to explore how haptic delay between humans influences their motor performance,Study: latency,"- solo vs collaboration
- amount of delay","- UM/CM
- delay (4)","Grouping, Delay","- Solo, paired
- Amount of delay","- RMSE
- cross correlation delay
- smoothness (spectral arc length - SPARC)","Performance: Errors, Score, Time, Precision",NA,N/A,Constant,N/A,N/A,N/A,,6,12 participants paired together,Paired,With participants,N/A,This study suggested that there is a reduced benefit (performance) from the connection for the Novice with a haptic delay.,,"Performance, Delay, Learning","This study could be beneficial for remote assistance between differently skilled participants, such as rehabilitation, where the impact of haptic delay remains uncertain.",Application,Application,Time delays,Delay,Latency,Extending to 2D robots (more complex haptic feedback),Explore more diverse haptic feedback,Increase the haptic resolution,
J,Effective Cooperative Haptic Interaction over the Internet,2007,M. Glencross and C. Jay and J. Feasel and L. Kohli and M. Whitton and R. Hubbold,https://doi.org/10.1109/VR.2007.352471,Synchronous,Remote: different countries,2,Symmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Object manipulation,-,Manipulating object,3,3,Pointer,FCS HapticMASTER,FCS Robotics HapticMASTER,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,6,6 (translational and rotational),Force,Guidance/Manipulation,,Asymmetric,Unilateral,"User, UI","We present a system that enables, for the first time, effective transatlantic cooperative haptic manipulation of objects whose motion is computed using a physically-based model.",Evaluation: system,"- Local or wide area network
- Synchronization method
- Prediction of movement (On/Off)","- Location
- Synchronization method
- Prediction ",Delay,"- Local or wide area network
- Synchronization method
- Prediction of movement (On/Off)","- Behavior
   - Position 
   - Orientation
- Performance (TCT)","Performance: Time
Behavior: Position","- User experience
- Haptic experience","User experience, Haptic experience",Constant,"(Network Delay)
H1. there will be significantly less divergence of the mean position and orientation in the synchronized than in the unsynchronized case
H2. the synchronized-predicted case will reduce divergence further.",Synchronization improves performance,No,within,21,21 participants paired with 1 experimenter,Single,With experimenter,Yes,We have described a method for maintaining synchronization between users in a peer-to-peer system. We demonstrate that minor differences in the subjective view between participants is not detrimental to performing a shared cooperative haptic task.,,"Usability, Performance","The inclusion of active or passive haptics in a virtual environment (VE) improves user experience by providing a reinforcing additional sensory cue, and in doing so overcomes the basic problem of there being ‘nothing to feel,’ as is the case in most VEs.",Haptic feedback improves collaborative experiences,Improve performance and experience,"Cooperative haptic interaction over the Internet is especially challenging. Latencies over large distances cannot be avoided, and are typically much higher than levels at which human task performance is adversely affected.",Delay,Latency,"Further experiments are required to characterise performance on a wider variety of networks with higher latencies, or where jitter is more prevalent.",Test the system in more ecological setup,More ecological setup,
WJ,"How to notify team members during asynchronous remote collaboration supported by mixed reality: Comparing visual, audio and tactile notifications",2023,"Marques, Bernardo and Ferreira, Carlos and Silva, Samuel and Dias, Paulo and Santos, Beatriz Sousa",https://doi.org/10.1145/3565066.3608687,Asynchronous,Remote: different rooms,2,Asymmetric,Workspace,Remote expert,AR,Performance,Optimizing,Notification,"The onsite worker sends a request to the remote person, who receives a notification with different feedback.,  (remote and onsite): Notification; remote maintenance",Notification,N/A (notification),N/A (notification),No visual representation,MYO armband,MYO armband,Off-the-shelf,Vibration motor,,Wearable,Forearm,Vibrotactile,1,1 (vibrotactile),Vibration,Notification,,Symmetric,Bilateral,User,"how distinct notifcation methods afect the consumption of MR instructions during asynchronous remote collaboration, 
i.e., how well they blend with the tasks being performed by on-site and remote team members.",Study: communication modalities,haptic vs. audio vs. visual,Feedback,Feedback,"Haptic, visual, audio",N/A,N/A,"D1- level of attentional allocation; 
D2- level of awareness; 
D3- level of mental efort; 
D4- level of satisfaction; Participants’ preferences and opinions. All these were rated by the participants using a Likert-type scale: 1 – Low; 7 – High.","Workload, User experience, Preference, Performance",IV,N/A,N/A,N/A,Within,13,26 participants paired together,Paired,With participants,N/A,"Tactile notifcations (C3) appear as the best possibility to call attention towards newer MR instructions during asynchronous remote maintenance, despite the participant’s role in the collaborative process.",,Haptic communication,Less effort to notifce,Haptic feedback improves collaborative performance,Improve performance,Notification may not be perceived in the real-life scenario.,"In more complex and real-life scenario, participants may miss the notification.",Simplified task,"Spatial cues, more ecological scenario such as industry site",Test the system in more ecological setup,More ecological setup,
J,HapticPointer: a neck-worn device that presents direction by vibrotactile feedback for remote collaboration tasks,2020,"Matsuda, Akira and Nozawa, Kazunori and Takata, Kazuki and Izumihara, Atsushi and Rekimoto, Jun",https://doi.org/10.1145/3384657.3384777,Synchronous,Remote: different rooms,2,Asymmetric,Person,Remote expert,Screen (RE),Communication,Optimizing,Navigating,-,Navigating,N/A (notification),NA,No visual representation,Custom,Necklace with vibrators,Customized,Vibration motor,,Wearable ,Neck ,Vibrotactile,1,1 (vibrotactile),Vibration,Guidance/Notification,,Asymmetric,Unilateral,User,We designed a necklace-style device named HapticPointer for presenting a direction as pointing cues in remote collaboration tasks. The device can simulates the sensation of walking together. It is assumed that the sensation improves engagement between the local and remote users.,Evaluation: system,"- Task
- Feedback (A/A+H)","- Task
- Feedback","Task, Feedback","- Differents tasks
- Haptic, no haptic","- Performance
   - TCT
   - Success/Errors
   - Movements until success","Performance: Time, Errors, Score, Efficiency","- Haptic experience
- User experience","Haptic experience, User experience",IV,N/A,N/A,N/A,Within,6,6 participants paired together,Paired,Together,N/A,"Our user study indicated that vibrotactile feedback on the neck is a suitable way to provide direction. Moreover, our approach has the potential to convey deixis and to enhance the engagement between the local and remote users.",,"Haptic communication, Usability, Social interaction, Social presence","Non-verbal information, such as pointing cues and gazes, provide deixis, and it is an important part of communication. And haptic feedback can work without the need for visual feedback",haptic as an alternative for communication,Alternative communication modality,"Limitation in DoF (since necklace) + necessitates 1 per user, not possible to share","Require hardware for each user, difficult to deplay",Hard-to-deploy,N/A,N/A,N/A,
WJ,Audio makes a difference in haptic collaborative virtual environments,2010,"Moll, Jonas and Huang, Yingying and Sallnäs, Eva-Lotta",https://doi.org/10.1016/j.intcom.2010.06.001,Synchronous,Co-located,2,Asymmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Object manipulation,"Building 3D objects, (blindfolded and sighted)",Manipulating object,3,3 (translational),Pointer,Hybrid,Phantom Desktop (blindfolded) and Phantom Omni (signthed),Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,For manipulating objects,,Symmetric,Bilateral,"User, Virtual object",The paper studies if audio communication can compensate visual loss in haptic collaboration.,Study: communication modalities,V+H+A vs V+H,Audio,Feedback,"- Audio, no audio",NA,N/A,"Usability, Common ground, Awareness, Guidance, Social presence, Modality and interview","Usability, Social presence, User experience",Constant,Audio cues can help a lack of visual feedback,Audio cues increase performance when missing visual.,No,Between,16,32 participants paired together,Paired,With participants,Yes,Results showed that sound cues together with haptic feedback made a difference in the interaction between the collaborators regarding their shared understanding of the workspace and the work process.,,"Haptic communication, Social presence",Sound cues together with haptic feedback made a difference in the interaction; maintaining awareness of ongoing work,haptic as an alternative for communication,Alternative communication modality,"too simple, no spatial information",The proposed haptic feedback is too limited.,Insufficient haptic resolution,N/A,N/A,N/A,
J,A haptic tool for group work on geometrical concepts engaging blind and sighted pupils,2013,"Moll, Jonas and Pysander, Eva-Lotta Sallnäs",https://doi.org/10.1145/2493171.2493172,Synchronous,Co-located,3,Symmetric,Object,Shared experience,Screen (3DVE),Communication,Optimizing,Navigating,,Navigating,3,3,Pointer,Hybrid,"- PHANTOM Desktop 
- PHANTOM Omni",Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Manipulation,,Asymmetry? (same FB but different devices),Bilateral,UI,The aim was to support collaborative learning among sighted and visually impaired pupils.,Study: learning,"- Interaction (Static or Dynamic objects)
- Guidance feedback (V or H)","- Interaction
- Guidance feedback","Interaction technique, Feedback","- Static, dynamic
- Visual, haptic",N/A,N/A,"- User experience
- Usability","User experience, Usability",Constant,N/A,N/A,N/A,N/A,12,12 participants paired together,Paired,Together,N/A,Verbal communication was crucial for the work process but haptic guiding to some extent substituted communication about direction. The important lesson learned here is that haptic communicative functions can make a great contribution to both the overall collaboration and task solving process as well as the inclusion of the visually impaired pupil.,,"Haptic communication, Performance, Social presence, Affect","While guiding haptically, the group members do not need to talk as much about navigation in the environment and can focus more on solving the task.",haptic as an alternative for communication,Alternative communication modality,When the objects can be moved in a shared haptic environment visually impaired pupils do not get enough awareness of events in the shared workspace and the group resorts to verbalizing that information instead.,"How participants have different capability, they may reduce back to different communication channel.",Haptic is only an alternative,Researchers have only started to recognize that haptic feedback can be used to communicate information that is useful in a collaborative situation.,Use haptic as an alternative for communication,Communication,
J,The Effects of Whole-Hand Interactions with One Fingertip Vibrotactile Feedback on Cooperative VR Game Experience and Performance,2023,"Moon, Hye and Moon, Hayoun and Orr, Grady and Jeon, Myounghoon",https://doi.org/10.1162/pres_a_00403,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,VR,Performance,Optimizing,-,"The game  was to manipulate and combine simple 3D objects, such as a cube, a sphere, and a cylinder, to  create a final artifact",Manipulating object,N/A (touch),NA,Virtual hand(s),Custom,Fingertip vibrotactile device,Customized,Vibration motor,,Wearable ,Fingertip,Vibrotactile,1,1 (vibrotactile),Vibration,Manipulation/Social touch,,Asymmetric,Unilateral,"User, UI","We investigated the effects of interaction methods and vibrotactile feedback on users‚Äô social presence, presence, engagement, workload and performance in a cooperative VR game.",Evaluation: interaction technique,"- VR interaction method (hand/controller)
- Vibrations (on/off)","- Interaction
- Vibrations","Feedback, Interaction technique","- Haptic, no haptic
- Hand, VR controller",Performance (TCT),Performance: Time,"- Social presence (SPQ)
- Presence (PQ)
- Engagement (GEQ)
- Workload (NASA-TLX)
- Usability","Social presence, Presence, Engagement, Workload, Usability",IV,"We expected the use of whole-hand interaction using hand tracking and the provision of vibrotactile to increase social presence, presence, and engagement, while lowering workload.",Haptic improves performance and experience,Yes ,within,26,26 participants paired with 1 experimenter,Single,With experimenter,Semi,"We observed whole-hand interaction to provide higher perceived presence and engagement with a lower workload; however, controllers were better in task performance. Providing vibrotactile feedback also led to an increased level of presence.",,"Interaction methods, Social presence, Affect, Performance",Providing vibrotactile feedback led to an increased level of presence.,Haptic feedback improves collaborative experiences,Improve experience,[haptic devices] are not commonly accepted due to limitations such as their bulkiness and high price,Hardware is difficult to deploy and purchase.,Hard-to-deploy,N/A,N/A,N/A,
WJ,The roles of sensory modalities in collaborative virtual environments (CVEs),2008,"Nam, Chang S. and Shu, Joseph and Chung, Donghun",https://doi.org/10.1016/j.chb.2007.07.014,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Maximizing,Object manipulation,An air hockey game,Manipulating object,2,2 (translational),Pointer,3D Systems Geomagic Touch,PHANTOM Omni,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic ,3,3 (contrainted to 2 translational),Force,"Manipulation
Touch
Notification",,Symmetric,Bilateral,UI,Assess the effects of sensorial modalities on users in CVEs,Study: communication modalities,Sensory modalities,V/V+H/V+H+A,Feedback,"Visual, haptic+visual, haptic+visual+audio","Performance:
Task Completion Time (TCT)
Behavior:
- Force applied
- Pointer deviation","Performance: Time
Behavior: Force applied, Position","- Collaboration
- Presence
- Copresence","Collaboration, Social presence, Presence",IV,N/A,N/A,N/A,,30,30 participants paired with 1 experimenter,Single,With experimenter,N/A,"Results of the study indicated that the task performance, perception, and user behavior in CVEs can be affected due to supported sensory modalities.",,"Performance, Social presence",Improve (Co)Presence,Haptic feedback improves collaborative performance and experiences,Improve performance and experience,Hard to generalize,Hard to generalize due to the simple task,Simplified task,Generalize to other tasks: navigating the virtual scene or consider the skill level of collaborators. Additional sensory feedback.,"explore other task, understand learning","Application, Learning",
J,Increasing the Motivation to Train Through Haptic Social Interaction – Pilot study,2023,"Nehrujee, Aravind and Ivanova, Ekaterina and Sujatha, S. and Balasubramanian, Sivakumar and Burdet, Etienne",https://doi.org/10.1109/ICORR58425.2023.10304751,Synchronous,N/A,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Maximizing,Object manipulation,-,Steering,1,1 (translational),Avatar,Custom,PLUTO,Customized,Motor,,Grounded,Hand,Kinesthetic,1,1 (rotational),Force,Force feedback while co-manipulating,,Symmetric,Bilateral,"User, UI",Effect of social touch/haptic FB on engagement/motivation,Study: collaborator,Grouping/Game design (Solo/Competitive/Cooperative),Grouping method,Grouping,"Solo, competitive, cooperative","Performance:
   - RMS error
   - Task score
   - Smoothness of mvt
   - % of targets hit","Performance: Errors, Score, Precision, Efficiency","- Engagement (IMS)
- Affect (PANAS)
- Preference","Engagement, Affect, Preference",IV,(Not explicitly said) More engagement during multiplayer games than solo,Social interactions increase engagment in multiplayer game.,Yes,within,12,12 participants paired together,Paired,With participants,Semi,This study indicates that using [haptics] with multiplayer game modes can enhance therapy engagement.,,"Social presence, Affect",This study indicates that using [haptics] with multiplayer game modes can enhance therapy engagement.,Haptic feedback improves collaborative performance and experiences,Improve experience,N/A,N/A,N/A,This can potentially improve rehabilitation outcomes if translated to the patient population.,Testing in different application,Application,
WJ,(2nd study) Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,2013,"Qin, Jing and Choi, Kup‐Sze and Xu, Renheng and Pang, Wai‐Man and Heng, Pheng‐Ann",https://doi.org/10.1162/PRES_a_00132,Synchronous,Co-located: separated by obstacles,2,Symmetric ,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,Moving a ring towards a target destination,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,SensAble Phantom,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Lifting the object and the other user's force,,Symmetric,Bilateral,"User, Virtual object",The study investigates how the packet losse rate influences collaborative haptic interactions.,Study: latency,"Packet Loss Rate (0, 0.1, 0.2, 0.3)",,Delay,"Packet Loss Rate (0, 0.1, 0.2, 0.3)","Task Completion Time, force profile","Performance: Time
Behavior: Force applied","Copresence, Involvement, Ease of Task (7point)","Social presence, Ease, Engagement",Constant,N/A,N/A,N/A,,10,20 participants paired together,Paired,With participants,N/A,Packet loss negatively impacts collab,,Delay,quantifies influence of network  delays,The proposed method reduces delay,Artifact for haptic collaboration,"Another limitation is that in Experiment 2 and  3, the study was conducted only with a simple goal-directed ring-moving task.",Hard to generalize due to the simple task,Simplified task,Investigate other collaborative tasks,testing in more complext task,More complex task,Local network ~0
WJ,(3rd study) Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,2013,"Qin, Jing and Choi, Kup‐Sze and Xu, Renheng and Pang, Wai‐Man and Heng, Pheng‐Ann",https://doi.org/10.1162/PRES_a_00132,Synchronous,Co-located: separated by obstacles,2,Symmetric ,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Object manipulation,Moving a ring towards a target destination,Manipulating object,3,3 (translational),Pointer,3D Systems Geomagic Touch,SensAble Phantom Desktop x2,Off-the-shelf,Motor,,Grounded,Hand,Kinesthetic,3,3 (translational),Force,Lifting the object and the other user's force,,Symmetric,Bilateral,"User, Virtual object",This study investigates the combined effect of packet loss and network delay on haptic collaboration.,Study: latency,Packet loss (4) and network latency (7),,Delay,"- Packet loss (4)
- Network latency (7)","TCT; 
Force transmission","Performance: Time
Behavior: Force applied","Copresence, Involvement, Ease of Task (7point)","Social presence, Ease, Engagement",Constant,N/A,N/A,N/A,,10,20 participants paired together,Paired,With participants,N/A,"Delay and packet loss interact weirdly, not linear.",,Delay,quantifies influence of network delays,The proposed method reduces delay,Artifact for haptic collaboration,"Another limitation is that in Experiment 2 and  3, the study was conducted only with a simple goal-directed ring-moving task.",Hard to generalize due to the simple task,Simplified task,Investigate other collaborative tasks,testing in more complext task,More complex task,
J,Impacts of VR 3D sketching on novice designers’ spatial cognition in collaborative conceptual architectural design,2011,"Rahimian, Farzad Pour and Ibrahim, Rahinah",https://doi.org/10.1016/j.destud.2010.10.003,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,Screen (3DVE),Creativity,Optimizing,-,-,Pointing,2,2,No visual representation,6DOF SensAble ,6DOF SensAble haptic device,Off-the-shelf,Motor and Vibrotactile,,Grounded,Hand,Kinesthetic and Vibrotactile,6,6,Force+Vibration,Force feedback and Vibrations,,Symmetric,Bilateral,User,"This paper identifies the impact of using a haptic based VR 3D sketching interface for integrating novice designers, cognitions and actions to improve design creativity.",Evaluation: system,Traditional or Virtual 3D sketching,Traditional/Virtual 3D sketching,Interaction technique,"Traditional, virtual 3D sketching","- Behavior:
   - Gestures
   - Actions
   - Dialogue
- Spatial cognition
- Occurrence frequency of Cognitive-Activities",Behavior: Social interaction,N/A,N/A,IV,"H1. 3D sketching leads to an increase in cognitive activity
H2. decrement for percentage of the P-actions in 3D sketching sessions
H3. using 3D sketching interface will not increase the amount of the supporting P-actions, e.g. tracing over a drawing in manual works and changing 3D view in digital works.
H4. 3D sketching interface improves perceptual design activities.
H5. In 3D sketching sessions, the designers attend to their designed elements and spaces more than what they do in traditional sessions.
H6. In 3D sketching design sessions, the designers discover tacit design facts more than they do in traditional sessions.
H7. 3D sketching interface improves functionality and thoughtfulness of design activities.
H8. The reflections between design interfaces and the designers’ mind is rather high in 3D sketching design sessions compared with those in traditional design sessions.
H9. 3D sketching interface improves designers’ situative inventions during conceptual architectural design phases.
H10. In 3D sketching design sessions, design team members shared design ideas more frequently than what they did in traditional design sessions.
H11. In 3D sketching design sessions, design conversations are more argumentative and critical than those in traditional design sessions.
H12. 3D sketching interface stimulates designers’ gesture actions during conceptual architectural design process.
H13. 3D sketching design interface strengthens the links between designers’ gesture actions and their spatial reasoning.","3D sketching improves cognitive abilities, cooperation, perception, creativity ",Yes ,within,6,6 participants paired together,Paired,With participants,Semi,Results show that the simple and tangible haptic based design interface improved designers’ cognitive and collaborative activities.,,"Social presence, Affect",Haptics improve collaboration and fosters creativity,Haptic feedback improves collaborative performance and experiences,Improve performance and experience,N/A,N/A,N/A,Research findings from this study can help the development of cutting-edge haptic-based collaborative virtual environments in architectural education and associated professions.,Testing in different application,Application,
