Title,Year,Author,Link,C1.1_Time,C1.2_Space,C1.3_Scale,C1.4_Symmetry_role,C1.5_Focus,C1.6_Scenario,C1.7_Display_for_VE,C1.8.1_Task_goal,C1.8.2_Task_outcome,C1.8.3_Intearction_code,C1.8.4_DoF_of_task,C1.8.5_User_rep,C2.1_Haptic_device_(F),C2.2_Off_the_shelf,C2.3.3_Installation,C2.4_Location,C2.5.1_Feedback_type ,C2.5.2_DoF_haptic_device_force,C2.5.3_Physical_properties,C2.6.1_Symmetry_(feedback),C2.6.2_Direction,C2.6.3_From_what,C3.1_Study_motivation_desc,C3.1_Study_motivation,C3.2_IV,C3.2.1_Levels,C3.3.1_DVs: Code Performance etc,C3.3.2_DVs: Code self-reports ,C3.2.2_Is_Haptic_feedback_an_IV_or_constant,C3.4_Hypotheses_description,C3.4.1_Hypotheses_code,C3.5_Between or within design?,C3.6_Sample_size,C3.6.1_Sample_size_description,C4.1_Hypothesis supported,Concluding statement,CS code,C4.2_Benefit of using haptic feedback in CVEs,Benefit_code,C4.3_Limitation of using haptic feedback in CVEs,Limitation_code,C4.4_Future work,Future_work_code
Separate DOF control and mutual guidance in networked haptic collaboration maze game: Design and evaluation,2011,"Liu, Lingzhi and Liu, Guanyang and Zhang, Yuru and Guo, Weidong and Lu, Keke and Zhou, Moyuan",https://doi.org/10.1109/ICRA.2011.5979832,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,Screen (2DVE),Performance,Optimizing,Manipulating object,2,No visual representation,Omega + Phantom devices,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetry? (same FB but different devices),Bilateral,"User, UI","The presented results motivated a new haptic collaboration mode (separate DOF control, SDC) in the fields of game design, education and cooperative assembly.",Evaluation: interaction technique,"Feedback, Guidance","Visual, visual+haptic, visual+haptic+guidance","Performance: Time, Errors","Social presence, Performance",IV,"H1. Performance increases with the haptic feedback because it makes the CVE more real compared to the visual feedback only.
H2. Co-presence is intense with the mutual guidance for the feeling of being guided intelligently.
H3. Attraction of the maze game increases for players because the new method which hasn’t experienced before.",#NAME?,within,12,12 participants paired together,Yes,[Haptic mutual guidance] is an effective collaborative method and its tentative application in the internet game is attractive.,"Performance, Social presence",Improves co-presence and performance,Haptic feedback improves collaborative performance and experiences,N/A,N/A,"applying the collaboration to the
wide area network",Test the system in more ecological setup
Proxy Importance Based Haptic Retargeting With Multiple Props in VR,2025,"Liu, Ziming and Wu, Jian and Wang, Lili and Li, Xiangyu and Im, Sio‐Kei",https://doi.org/10.1109/TVCG.2024.3392743,Synchronous,Co-located,2,Symmetric,Object,Shared experience,VR,Decision-making,Optimizing,Manipulating object,N/A (touch),Avatar,Passive prop(s),Customized,Prop,Hand,Passive,0,Shape,Symmetric,No communication,Prop,Haptic retargeting technique is proposed to establish the virtual-real correspondence by introducing an offset between the virtual hand and the real hand.,Evaluation: interaction technique,Interaction technique (Ownership),"Basic, Ownership, Weighted","Performance: Time, Precision
Behavior: Movements",N/A,Constant,N/A,N/A,Within,12,12 participants paired together,N/A,"In multi-user tasks, the use of the weighted proxy importance strategy proposed specifically for multi-user tasks significantly reduces the number of resets, the average hand movement distance, and the task completion time, compared to the direct use of the single-user method described earlier.","Performance, Social presence",haptic feedback is crucial for enhancing user immersion as it complements the visual information received.,Haptic feedback improves collaborative experience,"the virtual world is dynamic and complex, and it is often challenging to replicate the same number and distribution of physical objects in the real world.",Haptic props are not suitable for dynamice environment.,"In the future, we will consider adding predictions for user interaction sequences, for example, using models of the user’s gaze point and attention to estimate interaction sequences, which helps us to choose better props and placements.",predict user's interaction
A study on haptic collaborative game in shared virtual environment,2013,"Lu, Keke and Liu, Guanyang and L, Liu",https://doi.org/10.1117/12.2021258,Synchronous,Remote: different rooms,2,Symmetric ,Object,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,2,Pointer,omega/phantom,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,The goal of the experiment is to assess the impact of force feedback on collaborative task performance.,Study: communication modalities,Feedback,"Haptic, no haptic","Performance: Time, Score, Precision",N/A,IV,N/A,N/A,,5,10 participants paired together,N/A,The results suggest that haptic feedback is beneficial for increasing the accurate rate and enhancing speed of collaborative task.,Performance,Shows benefits of haptic feedback for remote joint object manipulation.,Haptic feedback improves collaborative performance,No statistical analysis in the paper.,N/A,Future research direction is to address network delay and experiences in CVEs.,reduce delay
The Effect of Haptic Delay on Robot-Mediated Dyadic Cooperation,2024,M. Du and S. Kager and B. Noronha and D. Campolo,https://doi.org/10.1109/BioRob60516.2024.10719746,Synchronous,Co-located: separated by obstacles,2,Asymmetric,Object,Remote expert,Screen (2DVE),Performance,Optimizing,Pointing,1,Pointer,1-DOF robots (HEBITM X5-6 Actuators),Customized,Grounded,Hand,Kinesthetic ,1,Force,Symmetric,Bilateral,User,Study to explore how haptic delay between humans influences their motor performance,Study: latency,"Grouping, Delay",#NAME?,"Performance: Errors, Score, Time, Precision",N/A,Constant,N/A,N/A,,6,12 participants paired together,N/A,This study suggested that there is a reduced benefit (performance) from the connection for the Novice with a haptic delay.,"Performance, Delay, Learning","This study could be beneficial for remote assistance between differently skilled participants, such as rehabilitation, where the impact of haptic delay remains uncertain.",application,Time delays,Delay,Extending to 2D robots (more complex haptic feedback),Explore more diverse haptic feedback
Effective Cooperative Haptic Interaction over the Internet,2007,M. Glencross and C. Jay and J. Feasel and L. Kohli and M. Whitton and R. Hubbold,https://doi.org/10.1109/VR.2007.352471,Synchronous,Remote: different countries,2,Symmetric,Object,Remote expert,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,FCS Robotics HapticMASTER,Off-the-shelf,Grounded,Hand,Kinesthetic,6,Force,Asymmetric,Unilateral,"User, UI","We present a system that enables, for the first time, effective transatlantic cooperative haptic manipulation of objects whose motion is computed using a physically-based model.",Evaluation: system,Delay,"- Local or wide area network
- Synchronization method
- Prediction of movement (On/Off)","Performance: Time
Behavior: Position","User experience, Haptic experience",Constant,"(Network Delay)
H1. there will be significantly less divergence of the mean position and orientation in the synchronized than in the unsynchronized case
H2. the synchronized-predicted case will reduce divergence further.",#NAME?,within,6+15,21 participants paired with 1 experimenter,Yes,We have described a method for maintaining synchronization between users in a peer-to-peer system. We demonstrate that minor differences in the subjective view between participants is not detrimental to performing a shared cooperative haptic task.,"Usability, Performance","The inclusion of active or passive haptics in a virtual environment (VE) improves user experience by providing a reinforcing additional sensory cue, and in doing so overcomes the basic problem of there being ‘nothing to feel,’ as is the case in most VEs.",Haptic feedback improves collaborative experiences,"Cooperative haptic interaction over the Internet is especially challenging. Latencies over large distances cannot be avoided, and are typically much higher than levels at which human task performance is adversely affected.",Delay,"Further experiments are required to characterise performance on a wider variety of networks with higher latencies, or where jitter is more prevalent.",Test the system in more ecological setup
"How to notify team members during asynchronous remote collaboration supported by mixed reality: Comparing visual, audio and tactile notifications",2023,"Marques, Bernardo and Ferreira, Carlos and Silva, Samuel and Dias, Paulo and Santos, Beatriz Sousa",https://doi.org/10.1145/3565066.3608687,Asynchronous,Remote: different rooms,2,Asymmetric,Workspace,Remote expert,AR,Performance,Optimizing,Notification,N/A (notification),No visual representation,MYO armband,Off-the-shelf,Wearable,Forearm,Vibrotactile,1,Vibration,Symmetric,Bilateral,User,"how distinct notifcation methods afect the consumption of MR instructions during asynchronous remote collaboration, 
i.e., how well they blend with the tasks being performed by on-site and remote team members.",Study: communication modalities,Feedback,"Haptic, visual, audio",N/A,"Workload, User experience, Preference, Performance",IV,N/A,N/A,Within,13,26 participants paired together,N/A,"Tactile notifcations (C3) appear as the best possibility to call attention towards newer MR instructions during asynchronous remote maintenance, despite the participant’s role in the collaborative process.",Haptic communication,Less effort to notifce,Haptic feedback improves collaborative performance,Notification may not be perceived in the real-life scenario.,"In more complex and real-life scenario, participants may miss the notification.","Spatial cues, more ecological scenario such as industry site",Test the system in more ecological setup
HapticPointer: a neck-worn device that presents direction by vibrotactile feedback for remote collaboration tasks,2020,"Matsuda, Akira and Nozawa, Kazunori and Takata, Kazuki and Izumihara, Atsushi and Rekimoto, Jun",https://doi.org/10.1145/3384657.3384777,Synchronous,Remote: different rooms,2,Asymmetric,Person,Remote expert,Screen (RE),Communication,Optimizing,Navigating,N/A (notification),No visual representation,Necklace with vibrators,Customized,Wearable ,Neck ,Vibrotactile,1,Vibration,Asymmetric,Unilateral,User,We designed a necklace-style device named HapticPointer for presenting a direction as pointing cues in remote collaboration tasks. The device can simulates the sensation of walking together. It is assumed that the sensation improves engagement between the local and remote users.,Evaluation: system,"Task, Feedback",#NAME?,"Performance: Time, Errors, Score, Efficiency","Haptic experience, User experience",IV,N/A,N/A,Within,6,6 participants paired together,N/A,"Our user study indicated that vibrotactile feedback on the neck is a suitable way to provide direction. Moreover, our approach has the potential to convey deixis and to enhance the engagement between the local and remote users.","Haptic communication, Usability, Social interaction, Social presence","Non-verbal information, such as pointing cues and gazes, provide deixis, and it is an important part of communication. And haptic feedback can work without the need for visual feedback",haptic as an alternative for communication,"Limitation in DoF (since necklace) + necessitates 1 per user, not possible to share","Require hardware for each user, difficult to deplay",N/A,N/A
Audio makes a difference in haptic collaborative virtual environments,2010,"Moll, Jonas and Huang, Yingying and Sallnäs, Eva-Lotta",https://doi.org/10.1016/j.intcom.2010.06.001,Synchronous,Co-located,2,Asymmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,Phantom Desktop (blindfolded) and Phantom Omni (signthed),Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",The paper studies if audio communication can compensate visual loss in haptic collaboration.,Study: communication modalities,Feedback,#NAME?,N/A,"Usability, Social presence, User experience",Constant,Audio cues can help a lack of visual feedback,Audio cues increase performance when missing visual.,Between,16,32 participants paired together,,Results showed that sound cues together with haptic feedback made a difference in the interaction between the collaborators regarding their shared understanding of the workspace and the work process.,"Haptic communication, Social presence",Sound cues together with haptic feedback made a difference in the interaction; maintaining awareness of ongoing work,haptic as an alternative for communication,"too simple, no spatial information",The proposed haptic feedback is too limited.,N/A,N/A
A haptic tool for group work on geometrical concepts engaging blind and sighted pupils,2013,"Moll, Jonas and Pysander, Eva-Lotta Sallnäs",https://doi.org/10.1145/2493171.2493172,Synchronous,Co-located,3,Symmetric,Object,Shared experience,Screen (3DVE),Communication,Optimizing,Navigating,3,Pointer,#NAME?,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Asymmetry? (same FB but different devices),Bilateral,UI,The aim was to support collaborative learning among sighted and visually impaired pupils.,Study: learning,"Interaction technique, Feedback",#NAME?,N/A,"User experience, Usability",Constant,N/A,N/A,N/A,12,12 participants paired together,N/A,Verbal communication was crucial for the work process but haptic guiding to some extent substituted communication about direction. The important lesson learned here is that haptic communicative functions can make a great contribution to both the overall collaboration and task solving process as well as the inclusion of the visually impaired pupil.,"Haptic communication, Performance, Social presence, Affect","While guiding haptically, the group members do not need to talk as much about navigation in the environment and can focus more on solving the task.",haptic as an alternative for communication,When the objects can be moved in a shared haptic environment visually impaired pupils do not get enough awareness of events in the shared workspace and the group resorts to verbalizing that information instead.,"How participants have different capability, they may reduce back to different communication channel.",Researchers have only started to recognize that haptic feedback can be used to communicate information that is useful in a collaborative situation.,Use haptic as an alternative for communication
The Effects of Whole-Hand Interactions with One Fingertip Vibrotactile Feedback on Cooperative VR Game Experience and Performance,2023,"Moon, Hye and Moon, Hayoun and Orr, Grady and Jeon, Myounghoon",https://doi.org/10.1162/pres_a_00403,Synchronous,Co-located,2,Symmetric,Object,Shared workspace,VR,Performance,Optimizing,Manipulating object,N/A (touch),Virtual hand(s),Fingertip vibrotactile device,Customized,Wearable ,Fingertip,Vibrotactile,1,Vibration,Asymmetric,Unilateral,"User, UI","We investigated the effects of interaction methods and vibrotactile feedback on users‚Äô social presence, presence, engagement, workload and performance in a cooperative VR game.",Evaluation: interaction technique,"Feedback, Interaction technique",#NAME?,Performance: Time,"Social presence, Presence, Engagement, Workload, Usability",IV,"We expected the use of whole-hand interaction using hand tracking and the provision of vibrotactile to increase social presence, presence, and engagement, while lowering workload.",#NAME?,within,26,26 participants paired with 1 experimenter,Semi,"We observed whole-hand interaction to provide higher perceived presence and engagement with a lower workload; however, controllers were better in task performance. Providing vibrotactile feedback also led to an increased level of presence.","Interaction methods, Social presence, Affect, Performance",Providing vibrotactile feedback led to an increased level of presence.,Haptic feedback improves collaborative experiences,[haptic devices] are not commonly accepted due to limitations such as their bulkiness and high price,Hardware is difficult to deploy and purchase.,N/A,N/A
The roles of sensory modalities in collaborative virtual environments (CVEs),2008,"Nam, Chang S. and Shu, Joseph and Chung, Donghun",https://doi.org/10.1016/j.chb.2007.07.014,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Maximizing,Manipulating object,2,Pointer,PHANTOM Omni,Off-the-shelf,Grounded,Hand,Kinesthetic ,3,Force,Symmetric,Bilateral,UI,Assess the effects of sensorial modalities on users in CVEs,Study: communication modalities,Feedback,"Visual, haptic+visual, haptic+visual+audio","Performance: Time
Behavior: Force applied, Position","Collaboration, Social presence, Presence",IV,N/A,N/A,,30,30 participants paired with 1 experimenter,N/A,"Results of the study indicated that the task performance, perception, and user behavior in CVEs can be affected due to supported sensory modalities.","Performance, Social presence",Improve (Co)Presence,Haptic feedback improves collaborative performance and experiences,Hard to generalize,Hard to generalize due to the simple task,Generalize to other tasks: navigating the virtual scene or consider the skill level of collaborators. Additional sensory feedback.,"explore other task, understand learning"
Increasing the Motivation to Train Through Haptic Social Interaction – Pilot study,2023,"Nehrujee, Aravind and Ivanova, Ekaterina and Sujatha, S. and Balasubramanian, Sivakumar and Burdet, Etienne",https://doi.org/10.1109/ICORR58425.2023.10304751,Synchronous,N/A,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Maximizing,Steering,1,Avatar,PLUTO,Off-the-shelf,Grounded,Hand,Kinesthetic,1,Force,Symmetric,Bilateral,"User, UI",Effect of social touch/haptic FB on engagement/motivation,Study: collaborator,Grouping,"Solo, competitive, cooperative","Performance: Errors, Score, Precision, Efficiency","Engagement, Affect, Preference",IV,(Not explicitly said) More engagement during multiplayer games than solo,Social interactions Increase engagment in multiplayer game.,within,12,12 participants paired together,Semi,This study indicates that using [haptics] with multiplayer game modes can enhance therapy engagement.,"Social presence, Affect",This study indicates that using [haptics] with multiplayer game modes can enhance therapy engagement.,Haptic feedback improves collaborative performance and experiences,N/A,N/A,This can potentially improve rehabilitation outcomes if translated to the patient population.,Testing in different application
(2nd study) Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,2013,"Qin, Jing and Choi, Kup‐Sze and Xu, Renheng and Pang, Wai‐Man and Heng, Pheng‐Ann",https://doi.org/10.1162/PRES_a_00132,Synchronous,Co-located: separated by obstacles,2,Symmetric ,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,SensAble Phantom,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",The study investigates how the packet losse rate influences collaborative haptic interactions.,Study: latency,Delay,"Packet Loss Rate (0, 0.1, 0.2, 0.3)","Performance: Time
Behavior: Force applied","Social presence, Ease, Engagement",Constant,N/A,N/A,,10,20 participants paired together,N/A,Packet loss negatively impacts collab,Delay,quantifies influence of network  delays,The proposed method reduces delay,"Another limitation is that in Experiment 2 and  3, the study was conducted only with a simple goal-directed ring-moving task.",Hard to generalize due to the simple task,Investigate other collaborative tasks,testing in more complext task
(3rd study) Effect of Packet Loss on Collaborative Haptic Interactions in Networked Virtual Environments: An Experimental Study,2013,"Qin, Jing and Choi, Kup‐Sze and Xu, Renheng and Pang, Wai‐Man and Heng, Pheng‐Ann",https://doi.org/10.1162/PRES_a_00132,Synchronous,Co-located: separated by obstacles,2,Symmetric ,Object,Telepresence,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,SensAble Phantom Desktop x2,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, Virtual object",This study investigates the combined effect of packet loss and network delay on haptic collaboration.,Study: latency,Delay,"- Packet loss (4)
- Network latency (7)","Performance: Time
Behavior: Force applied","Social presence, Ease, Engagement",Constant,N/A,N/A,,10,20 participants paired together,N/A,"Delay and packet loss interact weirdly, not linear.",Delay,quantifies influence of network delays,The proposed method reduces delay,"Another limitation is that in Experiment 2 and  3, the study was conducted only with a simple goal-directed ring-moving task.",Hard to generalize due to the simple task,Investigate other collaborative tasks,testing in more complext task
Impacts of VR 3D sketching on novice designers’ spatial cognition in collaborative conceptual architectural design,2011,"Rahimian, Farzad Pour and Ibrahim, Rahinah",https://doi.org/10.1016/j.destud.2010.10.003,Synchronous,Co-located,2,Symmetric,Workspace,Shared workspace,Screen (3DVE),Creativity,Optimizing,Pointing,2,No visual representation,6DOF SensAble haptic device,Off-the-shelf,Grounded,Hand,Kinesthetic and Vibrotactile,6,Force+Vibration,Symmetric,Bilateral,User,"This paper identifies the impact of using a haptic based VR 3D sketching interface for integrating novice designers, cognitions and actions to improve design creativity.",Evaluation: system,Interaction technique,"Traditional, virtual 3D sketching",Behavior: Social interaction,N/A,IV,"H1. 3D sketching leads to an increase in cognitive activity
H2. decrement for percentage of the P-actions in 3D sketching sessions
H3. using 3D sketching interface will not increase the amount of the supporting P-actions, e.g. tracing over a drawing in manual works and changing 3D view in digital works.
H4. 3D sketching interface improves perceptual design activities.
H5. In 3D sketching sessions, the designers attend to their designed elements and spaces more than what they do in traditional sessions.
H6. In 3D sketching design sessions, the designers discover tacit design facts more than they do in traditional sessions.
H7. 3D sketching interface improves functionality and thoughtfulness of design activities.
H8. The reflections between design interfaces and the designers’ mind is rather high in 3D sketching design sessions compared with those in traditional design sessions.
H9. 3D sketching interface improves designers’ situative inventions during conceptual architectural design phases.
H10. In 3D sketching design sessions, design team members shared design ideas more frequently than what they did in traditional design sessions.
H11. In 3D sketching design sessions, design conversations are more argumentative and critical than those in traditional design sessions.
H12. 3D sketching interface stimulates designers’ gesture actions during conceptual architectural design process.
H13. 3D sketching design interface strengthens the links between designers’ gesture actions and their spatial reasoning.","3D sketching improves cognitive abilities, cooperation, perception, creativity ",within,6,6 participants paired together,Semi,Results show that the simple and tangible haptic based design interface improved designers’ cognitive and collaborative activities.,"Social presence, Affect",Haptics improve collaboration and fosters creativity,Haptic feedback improves collaborative performance and experiences,N/A,N/A,Research findings from this study can help the development of cutting-edge haptic-based collaborative virtual environments in architectural education and associated professions.,Testing in different application
A Steering Experiment Towards Haptic Cooperative Maneuver Negotiation,2018,"Rothfuß, Simon and Grauer, Franziska and Flad, Michael and Hohmann, Sören",https://doi.org/10.1109/smc.2018.00543,Synchronous,Co-located: separated by obstacles,2,Symmetric,Workspace,Telepresence,Screen (2DVE),Performance,Optimizing,Steering,1,Pointer,Steering wheels,Customized,Grounded,Hand,Kinesthetic,1,Force,Symmetric,Bilateral,User,The paper investigates if the concept of shared control is extendable to higher levels of human-machine cooperation.,?,Task,"Decision: trival, agreement,  persuasion, conflict
",Performance: Time,Collaboration,Constant,"1) The extent to which agreement is reached in ambiguous decision scenarios corresponds with drivers’ characteristics.
2) The extent to which agreement is reached in persuasion scenarios corresponds with drivers’ characteristics.",#NAME?,within,62,62 participants paired together,Yes,The presented experiment on cooperative steering revealed a high ability of humans to successfully negotiate in ambiguous and persuasion scenarios using haptic communication only.,"Affect, Haptic communication, Performance",the experiment proves the haptic communication channel to be sufficient for basic maneuver negotiation.,haptic as an alternative for communication,N/A,N/A,"this general approach is extendable to other applications wherever human-machine cooperation requires interaction on guidance level, e. g. intelligent prosthetics.",Testing in different application
Haptic guides in cooperative virtual environments: Design and human performance evaluation,2010,S. Ullah and P. Richard and S. Otmane and M. Naud and M. Mallem,https://doi.org/10.1109/HAPTIC.2010.5444616,Synchronous,Co-located,2,Symmetric,Object,Remote expert,VR,Performance,Optimizing,Manipulating object,3,Pointer,SPIDAR,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,User,"We propose two haptic guide models, and investigate their effects on cooperation, co-presence and users performance. In addition we also examine the effect of simple force feedback in cooperative work.",Evaluation: interaction technique,Feedback,"No haptic, simple feedback, attractive haptic guide, speed control haptic guide","Performance: Time, Errors","User experience, Haptic experience, Presence, Preference",IV,N/A,N/A,within,10,10 participants paired with 1 experimenter,N/A,Results revealed that haptic guides have a significant effect on task execution.,Performance,They not only increase users performance but also enhance the sense of co-presence and awareness.,Haptic feedback improves collaborative performance and experiences,N/A,N/A,"Our investigations will help in the development of teleoperation systems for cooperative assembly, surgical training and rehabilitation systems.",Testing in different application
Supporting presence in collaborative environments by haptic force feedback,2000,"Sallnäs, Eva-Lotta and Rassmus-Gröhn, Kirsten and Sjöström, Calle",https://doi.org/10.1145/365058.365086,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared workspace,Screen (3DVE),Performance,Optimizing,Manipulating object,3,No visual representation,Phantom,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"User, UI","The aim of the experiment was to investigate if added haptic force feedback in such an environment affects perceived virtual presence, perceived social presence, perceived task performance, and task performance.",Study: communication modalities,Feedback,"Haptic, no haptic",Performance: Time,"Presence, Social presence, Performance, User experience, Usability",IV,"H1. Haptic force feedback improves task performance.
H2. Haptic force feedback increases perceived performance.
H3. Haptic force feedback increases perceived virtual presence.
H4. Haptic force feedback increases perceived social presence.",Haptics improve performance and user experience,between,28,28 participants paired together,Semi,"Results show that haptic force feedback significantly improves task performance, perceived task performance, and perceived virtual presence in the collaborative distributed environment.","Force feedback, Performance, Social presence",Haptics improve performance (TCT),Haptic feedback improves collaborative performance and experiences,"As yet, no single touch display can provide feedback that is perceived by the user as real.",Haptic feedback cannot achieve realism.,N/A,N/A
Experimental Internet Haptic Collaboration using Virtual Coupling Schemes,2008,"Sankaranarayanan, Ganesh and Hannaford, Blake",https://doi.org/10.1109/HAPTICS.2008.4479954,Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (3DVE),Performance,Optimizing,Manipulating object,3,Pointer,PHANTOM Omnie,Off-the-shelf,Grounded,Hand,Kinesthetic,3,Force,Symmetric,Bilateral,"Users, Virtual object",The paper evaluates three virtual coupling schemes in terms of how well they minimize users' position error,Evaluation: interaction technique,Delay,Virtual coupling parameters,"Performance: Score, Errors
Behavior: Force applied",N/A,Constant,N/A,N/A,,9,18 participants paired together,N/A,Our results demonstrate that the peer-to-peer virtual coupling schemes can be used for maintaining position coherency in a NHVE. We also show that the position error and the force rendered to the users increase with the reduction in the packet transmission rate.,"Performance, Force feedback",The proposed method show some improvements for compensating delays,The proposed method reduces delya,Time delays,Delay,Scale up the number of collaborators,Test with more users
Mutual Skill Learning and Adaptability to Others via Haptic Interaction,2021,"Saracbasi, Ozge and Harwin, William and Kondo, Toshiyuki and Hayashi, Yoshikatsu","Saracbasi, Ozge and Harwin, William and Kondo, Toshiyuki and Hayashi, Yoshikatsu",Synchronous,Remote: different rooms,2,Symmetric,Object,Shared experience,Screen (2DVE),Performance,Optimizing,Manipulating object,2,Pointer,Custom,Customized,Grounded,Hand,Kinesthetic,2,Force,Symmetric,Bilateral,User,The usage of robotic haptic interfaces generating force-field paved the way for understanding the human mechanism while learning skills through dyadic haptic interaction. Here haptic interaction is used as a way of studiyng transfer of technical skill while linked with a novice or an expert during learning (or also alone without a collaborator).,Study: learning,Grouping,"Solo, novice-novice, expert-novice","Performance: Time, Precision",N/A,Constant,"H1. learning with another beginner would enhance motor learning as a result of peer-to-peer learning, adapting to the other's dynamics, and exploring the unknown environmental dynamics together.
H2. there should be a positive correlation between skill learning and adaptability, which means that the participants in Novice-to-Novice groups can adapt to each other by exploring the unknown environmental dynamics together, and motor skill learning can happen only when there is adaptation.",Peer-to-peer learning between two novice users enhances motor learning.,Between,23,"12 novices paired with the same novice, 8 novice paired with the same experimenter, 3 novice alone",Yes,"Our results showed that the experience with another novice partner during the Learning phase plays a significant role in adaptation to a new partner (adaptability) as well as a skill learning under an unknown field. That is to say, learning a motor task together with another novice through exploration of the unknown environmental dynamics led to higher adaptability for a person and to the best motor learning for a given task.","Learning, Performance, Force feedback",N/A,N/A,N/A,N/A,"the principles of human-human interaction would facilitate the design of human-robot interfaces,",For design human-robot interaction
Exploring Remote Collaborative Tasks: The Impact of Avatar Representation on Dyadic Haptic Interactions in Shared Virtual Environments,2025,"Sasaki, Genki and Igarashi, Hiroshi",https://doi.org/10.1109/TVCG.2025.3580546,Synchronous,Co-located,2,Symmetric,Person,Shared experience,VR,Performance,Optimizing,Manipulating object,2,Avatar,robotic device simulating a physical plate. It is not the focus of the article (but a mean to investigate the research question).  So participants could manage two degrees of freedom. Mitsubishi Electric’s HG-MR43,Customized,Grounded,Hand,Kinesthetic,2,Force,Symmetric,Bilateral,User,"Explore the interplay between haptic interaction and avatar representation in CVEs. Can haptic interaction alone generate sufficient social presence, or is visual avatar representation also required?",Study: avatar,Avatar appearance,"Both the user’s and the partner’s avatars are displayed, only the user’s avatar is displayed, only the partner's avatar is displayed, no avatars are displayed","Performance: Score, Errors
Behavior: Force applied",Social presence,Constant,"H1. Social presence is not affected by avatar rep (bc haptics)
H2. Performance is not affected by avatar rep (bc haptics)
H3. Effort/force applied is affected by avatar rep","Avatar rep influences effort applied, but not performance or social presence",,14,27 participants paired together,Semi,"The results showed that participants felt a decrease in social presence when the partner’s avatar was not displayed. Meanwhile, task performance and effort remained constant under all conditions. These findings suggest that although haptic interaction alone does not fully compensate for the absence of visual cues in terms of social presence, it does not hinder task completion. Consequently, participants found the social presence provided by haptic interactions to be insufficient; however, the task execution was not affected by the representation of avatars.","Social presence, Performance, Social interaction","- haptic interaction alone does not fully compensate for the absence of visual cues in terms of social presence,
- the task execution was not affected by the representation of avatars.",Haptic vs avatar?emnodiment?,Not as strong as Visual FB (Avatar rep) for social presence,Haptic cannot take over visual,"Explore group size, richer communication channels, and different types of task","Test with more users, more diverse task"
The Influence of Avatar Representation on Haptic Interaction in Virtual Environment,2022,"Sasaki, Genki and Igarashi, Hiroshi",https://doi.org/10.1109/IECON49645.2022.9968985,Synchronous,Co-located,4,Symmetric,Object,Shared experience,VR,Performance,Optimizing,Manipulating object,2,Avatar,robotic device simulating a physical plate. It is not the focus of the article (but a mean to investigate the research question).  So participants could manage two degrees of freedom,Customized,Grounded,Hand,Kinesthetic,2,Force,Symmetric,Multilateral,User,The objective is to clarify the influence that an avatar has on haptic interaction in a VE,Study: avatar,Avatar appearance,"All subjects avatars are displayed, subject's avatar is displayed, all subject's avatar are not displayed",Performance: Time,Social presence,Constant,N/A,N/A,,10,10 participants paired together,N/A,"The experimental results showed that the avatar representation did not affect the haptic interaction. On the other hand, the subject’s impression was changed by the avatar representation. Therefore, it was concluded that the avatars are not always necessary in a cooperative task.",Social interaction,Avatars are not always ncesseary when haptic feedback is present.,Haptic vs avatar?emnodiment?,N/A,N/A,N/A,N/A
